mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17.235793590545654,1.7498032023073196,0.0037018775939941405,0.0012784081526041925,0.0001,"(50,)",constant,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.9449275362318841,0.9098837209302325,0.9302325581395349,0.9186046511627907,0.9476744186046512,0.9302645770138186,0.014624904430512791,11
16.313185214996338,1.608829791052788,0.0063992500305175785,0.006200857623034288,0.0001,"(50,)",adaptive,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.9449275362318841,0.9098837209302325,0.9302325581395349,0.9186046511627907,0.9476744186046512,0.9302645770138186,0.014624904430512791,11
31.43844094276428,3.8974334999978804,0.005287790298461914,0.0008363168414175007,0.0001,"(100,)",constant,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.9449275362318841,0.9331395348837209,0.9331395348837209,0.9244186046511628,0.9476744186046512,0.9366599258510281,0.0085359086437581,3
32.227461099624634,1.089055909271196,0.004125261306762695,0.0012935081584271107,0.0001,"(100,)",adaptive,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.9449275362318841,0.9331395348837209,0.9331395348837209,0.9244186046511628,0.9476744186046512,0.9366599258510281,0.0085359086437581,3
19.719652080535887,0.9502113560797095,0.0038706302642822266,0.0002784639432198139,0.0001,"(50, 50)",constant,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant'}",0.9507246376811594,0.9040697674418605,0.9302325581395349,0.9244186046511628,0.9331395348837209,0.9285170205594877,0.015046289669177624,13
14.002311420440673,1.4070536726031992,0.003909873962402344,0.00019287496612681356,0.0001,"(50, 50)",adaptive,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive'}",0.9507246376811594,0.9040697674418605,0.9302325581395349,0.9244186046511628,0.9331395348837209,0.9285170205594877,0.015046289669177624,13
21.04648118019104,10.1691136966893,0.006303119659423828,0.00508147648247383,0.001,"(50,)",constant,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.9420289855072463,0.9156976744186046,0.938953488372093,0.9186046511627907,0.9447674418604651,0.93201044826424,0.012305606579985914,7
23.497830963134767,6.5280619092565075,0.00464019775390625,0.002893634238021983,0.001,"(50,)",adaptive,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.9420289855072463,0.9156976744186046,0.938953488372093,0.9186046511627907,0.9447674418604651,0.93201044826424,0.012305606579985914,7
42.73376126289368,21.357015647390227,0.01150808334350586,0.010769097556841821,0.001,"(100,)",constant,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.9420289855072463,0.9273255813953488,0.9331395348837209,0.9244186046511628,0.9563953488372093,0.9366616110549376,0.01155583654725352,1
38.87987017631531,21.254975872225124,0.0031590938568115236,0.0005800062515005737,0.001,"(100,)",adaptive,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.9420289855072463,0.9273255813953488,0.9331395348837209,0.9244186046511628,0.9563953488372093,0.9366616110549376,0.01155583654725352,1
18.472231960296632,5.273910236306143,0.00848979949951172,0.004486977938113739,0.001,"(50, 50)",constant,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant'}",0.9420289855072463,0.9069767441860465,0.9186046511627907,0.9186046511627907,0.9244186046511628,0.9221267273340074,0.011451503067513483,17
13.19494571685791,1.169155377191061,0.006164455413818359,0.004234638600641997,0.001,"(50, 50)",adaptive,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive'}",0.9420289855072463,0.9069767441860465,0.9186046511627907,0.9186046511627907,0.9244186046511628,0.9221267273340074,0.011451503067513483,17
22.804958629608155,6.792409000093007,0.012390851974487305,0.011628266135258133,0.01,"(50,)",constant,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.9449275362318841,0.9098837209302325,0.9302325581395349,0.9244186046511628,0.9476744186046512,0.9314273677114931,0.01386290199769614,9
