mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9866905212402344,0.05230962805947862,0.08467659950256348,0.008414249971942908,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8753623188405797,0.8546511627906976,0.8604651162790697,0.8662790697674418,0.8633720930232558,0.8640259521402089,0.0068495767479448055,11
0.4071829795837402,0.02253975255323329,0.014131307601928711,0.0009768946113652137,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9246376811594202,0.9040697674418605,0.9156976744186046,0.9244186046511628,0.9302325581395349,0.9198112571621166,0.00914157092790025,7
1.0244617938995362,0.07643493721517879,0.10064878463745117,0.012999640908897022,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8695652173913043,0.8459302325581395,0.8633720930232558,0.8575581395348837,0.8604651162790697,0.8593781597573307,0.0078111246336949125,12
0.420029354095459,0.0506148209708341,0.018489360809326172,0.005171979212661023,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.9246376811594202,0.9040697674418605,0.9156976744186046,0.9244186046511628,0.9302325581395349,0.9198112571621166,0.00914157092790025,7
0.742624568939209,0.06251357308173153,0.06185755729675293,0.006738433570472123,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9130434782608695,0.9156976744186046,0.9156976744186046,0.9186046511627907,0.9244186046511628,0.9174924165824064,0.003884440705776854,9
0.47554264068603513,0.026862987580142265,0.012095928192138672,0.0008828655372192093,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.9246376811594202,0.9069767441860465,0.9186046511627907,0.9302325581395349,0.9302325581395349,0.9221368385574655,0.008713671717068366,3
0.6433930397033691,0.03328415262523463,0.05895047187805176,0.0038458473146877024,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9130434782608695,0.9098837209302325,0.9098837209302325,0.9186046511627907,0.9215116279069767,0.9145854398382204,0.00470565846021201,10
0.43716888427734374,0.0439435128743353,0.01232304573059082,0.0018370410458165064,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.9246376811594202,0.9069767441860465,0.9186046511627907,0.9302325581395349,0.9302325581395349,0.9221368385574655,0.008713671717068366,3
0.5962532043457032,0.04637844182904118,0.043613433837890625,0.0029851306941782374,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.936231884057971,0.9215116279069767,0.9273255813953488,0.9156976744186046,0.9476744186046512,0.9296882372767105,0.011264963068248611,2
0.8850221157073974,0.07071908967057947,0.010543394088745116,0.0005481256801891832,10.0,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.927536231884058,0.9098837209302325,0.9215116279069767,0.9273255813953488,0.9244186046511628,0.9221351533535558,0.006508651516005673,5
0.5357045650482177,0.016953068695271297,0.04097900390625,0.002818705050882923,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9333333333333333,0.9215116279069767,0.9302325581395349,0.9273255813953488,0.9447674418604651,0.9314341085271318,0.007722229895906408,1
0.7112129211425782,0.051862427665542395,0.004812860488891601,0.0017058714187001417,10.0,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.927536231884058,0.9098837209302325,0.9215116279069767,0.9273255813953488,0.9244186046511628,0.9221351533535558,0.006508651516005673,5
