Model,Accuracy,Precision,Recall,F1-Score,CV Score
RandomForest,0.8909512761020881,0.8947194336015565,0.8909512761020881,0.8867889774290663,0.9145786990225817
SVM,0.9164733178654292,0.9172534940235977,0.9164733178654292,0.9139346290110538,0.9314341085271318
MLP,0.9164733178654292,0.9173731752398138,0.9164733178654292,0.9135697712959894,0.9366616110549376
